%% File Creation: 2010-07-14 12:46:36
% File Content: 
%   Please refer to the species-specific README file in the
%   appropriate directory folder at ftp://ftp.cmdl.noaa.gov/ccg.
% Contact: 
%   Compound: CO2 (In Situ)
%   Pieter Tans
%   tel: (303) 497-6678
%   email: Pieter.Tans@noaa.gov

% year month day value stddev #hours_averaged
1974 10 17   327.20  0.19 16
1974 10 18   327.10  0.15  6
1974 10 19   327.33  0.14 13
1974 10 20   327.34  0.14 19
1974 10 21  -999.99 -9.99  0
1974 10 22  -999.99 -9.99  0
1974 10 23   327.28  0.15  8
1974 10 24   327.29  0.25 21
1974 10 25   327.41  0.11 23
1974 10 26   327.41  0.09 24
1974 10 27   327.58  0.14 20
1974 10 28   327.88  0.08 22
1974 10 29   327.51  0.12 16
1974 10 30   327.53  0.19 21
1974 10 31   327.52  0.08 23
1974 11  1   327.74  0.15 18
1974 11  2   327.82  0.11 16
1974 11  3   327.91  0.12 18
1974 11  4   328.00  0.11 22
1974 11  5   327.86  0.16 16
1974 11  6   327.92  0.11 19
1974 11  7   327.96  0.14 22
1974 11  8   327.86  0.18 22
1974 11  9   327.86  0.17  5
1974 11 10   327.90  0.17 19
1974 11 11   327.95  0.13 18
1974 11 12   328.70  0.11  8
1974 11 13   328.28  0.20 20
1974 11 14   328.31  0.14 10
1974 11 15   329.09  0.11  6
1974 11 16   328.95  0.17 22
1974 11 17   329.10  0.12 20
1974 11 18   328.68  0.15 20
1974 11 19   328.39  0.19 15
1974 11 20   328.60  0.20  9
1974 11 21   328.55  0.12 15
1974 11 22   328.53  0.11 18
1974 11 23   328.50  0.08 15
1974 11 24   328.59  0.12  5
1974 11 25  -999.99 -9.99  0
1974 11 26   328.43  0.11 16
1974 11 27   328.42  0.16 18
1974 11 28   328.60  0.12 20
1974 11 29   328.27  0.16 24
1974 11 30   328.67  0.20 17
1974 12  1   328.67  0.17 19
1974 12  2   328.69  0.08 17
1974 12  3   328.89  0.13 10
1974 12  4   328.91  0.13  5
1974 12  5   329.18  0.20  4
1974 12  6   328.90  0.17  9
1974 12  7   328.77  0.17 18
1974 12  8   329.21  0.24 21
1974 12  9   329.31  0.11  5
1974 12 10   329.42  0.15 11
1974 12 11   329.33  0.10 22
1974 12 12   329.17  0.18 24
1974 12 13   329.51  0.18 19
1974 12 14   329.31  0.18 21
1974 12 15   329.46  0.11 19
1974 12 16   329.50  0.18 21
1974 12 17   329.47  0.12  8
1974 12 18   329.75  0.12 17
1974 12 19   329.49  0.11 19
1974 12 20   329.96  0.25  8
1974 12 21   329.97  0.21 23
1974 12 22   329.92  0.15 22
1974 12 23   330.15  0.15 18
1974 12 24   329.77  0.12 20
1974 12 25   329.78  0.14 21
1974 12 26   330.30  0.11 16
1974 12 27   329.78  0.09 16
1974 12 28   329.93  0.16 22
1974 12 29   329.76  0.13 24
1974 12 30   330.02  0.24  7
1974 12 31   330.26  0.12 21
1975  1  1   329.90  0.18 16
1975  1  2   330.19  0.15 22
1975  1  3   330.60  0.18 19
1975  1  4   330.71  0.19 22
1975  1  5   330.68  0.18 21
1975  1  6   330.60  0.15 14
1975  1  7   330.38  0.16 24
1975  1  8   330.50  0.12 24
1975  1  9   330.39  0.19 24
1975  1 10   330.36  0.22  3
1975  1 11   330.38  0.19  7
1975  1 12   330.48  0.16 10
1975  1 13   330.42  0.13 18
1975  1 14   330.74  0.25 13
1975  1 15   330.74  0.12  3
1975  1 16   330.34  0.16 18
1975  1 17   330.18  0.13 20
1975  1 18   330.04  0.12 15
1975  1 19   330.40  0.17 10
1975  1 20   330.67  0.21 13
1975  1 21   330.60  0.14 15
1975  1 22   330.42  0.25 12
1975  1 23   330.50  0.10 17
1975  1 24   330.74  0.14 14
1975  1 25   331.73  0.13  3
1975  1 26   331.61  0.21 19
1975  1 27   331.43  0.18 11
1975  1 28   331.74  0.11 15
1975  1 29   331.70  0.12  8
1975  1 30   331.04  0.14 12
1975  1 31   330.95  0.24 16
1975  2  1   330.79  0.14 17
1975  2  2   330.96  0.17 13
1975  2  3   330.65  0.10  9
1975  2  4   331.67  0.11  7
1975  2  5   331.63  0.27  9
1975  2  6   331.86  0.20 15
1975  2  7   331.71  0.14 19
1975  2  8   331.58  0.15 15
1975  2  9   331.64  0.16 15
1975  2 10   331.05  0.20 20
1975  2 11   331.13  0.17 22
1975  2 12   330.84  0.17 12
1975  2 13   331.02  0.11 20
1975  2 14   331.03  0.10  7
1975  2 15   330.97  0.14 23
1975  2 16   331.04  0.17 11
1975  2 17   331.42  0.14  7
1975  2 18   331.23  0.24 16
1975  2 19   331.55  0.12 17
1975  2 20   331.50  0.06  4
1975  2 21   331.41  0.20 18
1975  2 22   331.72  0.18 15
1975  2 23   332.19  0.06  9
1975  2 24   332.00  0.13 18
1975  2 25   331.95  0.07 24
1975  2 26   331.81  0.13 21
1975  2 27   331.73  0.20 23
1975  2 28   331.37  0.14 15
1975  3  1   332.21  0.21  3
1975  3  2   332.18  0.19 17
1975  3  3  -999.99 -9.99  0
1975  3  4  -999.99 -9.99  0
1975  3  5   331.89  0.18 17
1975  3  6   331.60  0.22 18
1975  3  7   331.69  0.24 16
1975  3  8   331.62  0.17  9
1975  3  9   331.54  0.16 13
1975  3 10   331.60  0.20 18
1975  3 11   331.51  0.10 10
1975  3 12   331.56  0.18  6
1975  3 13   331.67  0.12 23
1975  3 14   331.94  0.11  5
1975  3 15   331.65  0.19  8
1975  3 16  -999.99 -9.99  0
1975  3 17   331.87  0.09  4
1975  3 18   332.17  0.24 15
1975  3 19   331.99  0.29  4
1975  3 20   332.22  0.19 17
1975  3 21   332.12  0.10 18
1975  3 22   332.13  0.13 22
1975  3 23   332.04  0.14 22
1975  3 24   331.90  0.12  9
1975  3 25   331.60  0.08  4
1975  3 26  -999.99 -9.99  0
1975  3 27   331.72  0.18 12
1975  3 28   331.68  0.21  9
1975  3 29   331.74  0.25  3
1975  3 30   332.16  0.15 10
1975  3 31  -999.99 -9.99  0
1975  4  1   333.42  0.12 14
1975  4  2   333.46  0.16 21
1975  4  3   333.51  0.26 11
1975  4  4   333.21  0.20 12
1975  4  5   332.61  0.13 16
1975  4  6   332.63  0.20 13
1975  4  7   332.83  0.19 13
1975  4  8   332.60  0.21 20
1975  4  9   332.61  0.18  6
1975  4 10   333.05  0.16 15
1975  4 11   333.71  0.18 14
1975  4 12   333.98  0.12  2
1975  4 13   334.42  0.16  5
1975  4 14   334.18  0.22  4
1975  4 15   333.51  0.16 16
1975  4 16   333.63  0.22 10
1975  4 17   332.97  0.19 12
1975  4 18   333.41  0.11  3
1975  4 19   333.30  0.22 21
1975  4 20   333.18  0.19 23
1975  4 21   333.41  0.11 23
1975  4 22   333.56  0.12 18
1975  4 23   333.67  0.18 22
1975  4 24   333.73  0.24  9
1975  4 25   333.16  0.23 20
1975  4 26   332.76  0.08 22
1975  4 27   333.01  0.10 17
1975  4 28   332.88  0.15 20
1975  4 29   332.82  0.17 15
1975  4 30   333.45  0.27 19
1975  5  1   333.88  0.17 21
1975  5  2   334.03  0.18 18
1975  5  3   334.26  0.19 14
1975  5  4   334.00  0.20 16
1975  5  5   333.95  0.16 13
1975  5  6   333.95  0.23 16
1975  5  7   333.89  0.20 17
1975  5  8   333.98  0.16 19
1975  5  9   333.89  0.22 18
1975  5 10   333.95  0.09 17
1975  5 11   334.00  0.19 19
1975  5 12   333.94  0.20 14
1975  5 13   333.99  0.14 16
1975  5 14   334.61  0.10 18
1975  5 15   334.54  0.20 19
1975  5 16   334.16  0.16  6
1975  5 17   333.26  0.09  6
1975  5 18   333.39  0.17 16
1975  5 19  -999.99 -9.99  0
1975  5 20   333.28  0.26 12
1975  5 21   333.29  0.11 14
1975  5 22   333.24  0.18 21
1975  5 23   333.72  0.23 14
1975  5 24   333.46  0.10 17
1975  5 25   333.92  0.20 15
1975  5 26   334.19  0.17 16
1975  5 27   334.16  0.16 18
1975  5 28   334.01  0.19 14
1975  5 29   334.03  0.09  8
1975  5 30   334.18  0.21  9
1975  5 31   334.22  0.05  4
1975  6  1   334.31  0.15 13
1975  6  2   334.00  0.12 15
1975  6  3   334.01  0.11 14
1975  6  4   333.53  0.13 14
1975  6  5   333.97  0.14 14
1975  6  6   334.12  0.10 21
1975  6  7   333.84  0.18 20
1975  6  8   333.79  0.19 10
1975  6  9   333.35  0.22  9
1975  6 10   333.26  0.16 18
1975  6 11   333.15  0.14  9
1975  6 12   332.77  0.10  4
1975  6 13   332.66  0.13 14
1975  6 14  -999.99 -9.99  0
1975  6 15   333.01  0.20 19
1975  6 16   333.30  0.16 17
1975  6 17   333.44  0.13 10
1975  6 18   333.35  0.12 18
1975  6 19   333.19  0.19  8
1975  6 20   333.43  0.12  6
1975  6 21   332.95  0.13  6
1975  6 22   333.34  0.15  9
1975  6 23   333.63  0.15  4
1975  6 24   333.63  0.15  9
1975  6 25   333.46  0.17 17
1975  6 26   333.38  0.13 12
1975  6 27   332.91  0.17 12
1975  6 28   332.94  0.13 19
1975  6 29   332.84  0.13 18
1975  6 30   332.96  0.27  7
1975  7  1   333.54  0.15 13
1975  7  2   333.04  0.10 17
1975  7  3   332.92  0.22 12
1975  7  4   332.86  0.18 16
1975  7  5   332.72  0.19 13
1975  7  6   332.70  0.28 11
1975  7  7  -999.99 -9.99  0
1975  7  8   332.20  0.13 16
1975  7  9   332.14  0.07 15
1975  7 10   332.05  0.13  7
1975  7 11   331.90  0.13 16
1975  7 12   332.10  0.10 13
1975  7 13   331.78  0.20 16
1975  7 14   331.99  0.13 18
1975  7 15   331.86  0.10  3
1975  7 16   331.46  0.18 18
1975  7 17  -999.99 -9.99  0
1975  7 18   330.87  0.13  5
1975  7 19   331.04  0.23 15
1975  7 20   330.65  0.20  4
1975  7 21   330.60  0.23 10
1975  7 22   330.74  0.24 17
1975  7 23   331.29  0.20 10
1975  7 24   331.35  0.21 12
1975  7 25   331.67  0.22 19
1975  7 26   331.36  0.19 21
1975  7 27  -999.99 -9.99  0
1975  7 28   330.97  0.18  8
1975  7 29  -999.99 -9.99  0
1975  7 30   331.11  0.16 15
1975  7 31   331.23  0.17 22
1975  8  1   330.94  0.16 22
1975  8  2   330.63  0.19 12
1975  8  3   330.95  0.14  8
1975  8  4   330.97  0.08 13
1975  8  5   330.91  0.13 10
1975  8  6   330.75  0.14 23
1975  8  7   330.92  0.18 22
1975  8  8   330.93  0.14 20
1975  8  9   330.61  0.21  4
1975  8 10   330.55  0.17  7
1975  8 11   329.97  0.08  4
1975  8 12   330.40  0.18 12
1975  8 13   330.29  0.19 19
1975  8 14   330.50  0.10 10
1975  8 15   330.59  0.12 15
1975  8 16   330.39  0.15 14
1975  8 17   330.11  0.13  4
1975  8 18   330.17  0.17  7
1975  8 19   329.64  0.16 15
1975  8 20   329.70  0.19 11
1975  8 21   329.53  0.24 18
1975  8 22   329.28  0.24 15
1975  8 23   328.96  0.15 17
1975  8 24   328.97  0.08  7
1975  8 25   328.07  0.11 15
1975  8 26   328.12  0.04  2
1975  8 27   328.58  0.02  2
1975  8 28   328.73  0.27 12
1975  8 29   328.79  0.24  6
1975  8 30   328.63  0.16 15
1975  8 31   328.59  0.16 12
1975  9  1   328.84  0.10 10
1975  9  2   329.49  0.09  4
1975  9  3   329.30  0.23 16
1975  9  4   329.39  0.23 16
1975  9  5   329.56  0.20 21
1975  9  6   329.50  0.21 19
1975  9  7   328.96  0.06  2
1975  9  8   329.34  0.15  7
1975  9  9   329.35  0.21  8
1975  9 10   329.68  0.11  7
1975  9 11   329.35  0.11  3
1975  9 12   329.17  0.10  3
1975  9 13   329.03  0.22 12
1975  9 14   328.78  0.23 16
1975  9 15   327.89  0.18 14
1975  9 16   327.91  0.18 19
1975  9 17   327.53  0.20 13
1975  9 18   327.86  0.19 17
1975  9 19   327.68  0.21 20
1975  9 20   328.04  0.16 12
1975  9 21   327.93  0.12 15
1975  9 22   327.98  0.26 15
1975  9 23   328.15  0.23 16
1975  9 24   328.12  0.08  3
1975  9 25   327.96  0.22 14
1975  9 26   327.92  0.12 10
1975  9 27   327.92  0.22 10
1975  9 28   328.12  0.20 11
1975  9 29   328.26  0.14 10
1975  9 30   327.98  0.15 18
1975 10  1   327.63  0.17 19
1975 10  2   327.67  0.27 17
1975 10  3  -999.99 -9.99  0
1975 10  4  -999.99 -9.99  0
1975 10  5  -999.99 -9.99  0
1975 10  6  -999.99 -9.99  0
1975 10  7  -999.99 -9.99  0
1975 10  8  -999.99 -9.99  0
1975 10  9  -999.99 -9.99  0
1975 10 10  -999.99 -9.99  0
1975 10 11  -999.99 -9.99  0
1975 10 12  -999.99 -9.99  0
1975 10 13  -999.99 -9.99  0
1975 10 14  -999.99 -9.99  0
1975 10 15   328.38  0.19 10
1975 10 16   328.36  0.17 10
1975 10 17   328.42  0.16  6
1975 10 18   328.41  0.19  7
1975 10 19   328.42  0.11  8
1975 10 20   328.63  0.24 10
1975 10 21   328.67  0.11  3
1975 10 22  -999.99 -9.99  0
1975 10 23   328.78  0.12 11
1975 10 24   328.78  0.19 15
1975 10 25   328.64  0.20 14
1975 10 26   328.65  0.15 19
1975 10 27   328.67  0.13 13
1975 10 28   328.48  0.17 17
1975 10 29   328.74  0.15 17
1975 10 30   328.55  0.22  5
1975 10 31  -999.99 -9.99  0
1975 11  1   328.70  0.13  3
1975 11  2   329.34  0.11 23
1975 11  3   328.96  0.19 14
1975 11  4   328.62  0.13 16
1975 11  5   329.11  0.24 12
1975 11  6   329.03  0.19  9
1975 11  7   329.32  0.21  8
1975 11  8   328.86  0.16 20
1975 11  9   328.99  0.15 15
1975 11 10   329.10  0.20 14
1975 11 11   328.99  0.16 21
1975 11 12   329.00  0.16 18
1975 11 13   328.81  0.13 18
1975 11 14   329.01  0.14 20
1975 11 15   329.05  0.15 17
1975 11 16   329.20  0.20 15
1975 11 17   329.19  0.17  7
1975 11 18   329.40  0.23  5
1975 11 19   329.40  0.09  4
1975 11 20   329.58  0.09  8
1975 11 21   329.48  0.22 16
1975 11 22  -999.99 -9.99  0
1975 11 23  -999.99 -9.99  0
1975 11 24  -999.99 -9.99  0
1975 11 25  -999.99 -9.99  0
1975 11 26  -999.99 -9.99  0
1975 11 27   330.16  0.16  6
1975 11 28   330.23  0.15 14
1975 11 29   330.10  0.12 19
1975 11 30   329.76  0.19 16
1975 12  1  -999.99 -9.99  0
1975 12  2   329.68  0.13  8
1975 12  3  -999.99 -9.99  0
1975 12  4  -999.99 -9.99  0
1975 12  5  -999.99 -9.99  0
1975 12  6  -999.99 -9.99  0
1975 12  7  -999.99 -9.99  0
1975 12  8  -999.99 -9.99  0
1975 12  9  -999.99 -9.99  0
1975 12 10  -999.99 -9.99  0
1975 12 11  -999.99 -9.99  0
1975 12 12  -999.99 -9.99  0
1975 12 13  -999.99 -9.99  0
1975 12 14  -999.99 -9.99  0
1975 12 15  -999.99 -9.99  0
1975 12 16  -999.99 -9.99  0
1975 12 17  -999.99 -9.99  0
1975 12 18  -999.99 -9.99  0
1975 12 19  -999.99 -9.99  0
1975 12 20  -999.99 -9.99  0
1975 12 21  -999.99 -9.99  0
1975 12 22  -999.99 -9.99  0
1975 12 23  -999.99 -9.99  0
1975 12 24  -999.99 -9.99  0
1975 12 25  -999.99 -9.99  0
1975 12 26  -999.99 -9.99  0
1975 12 27  -999.99 -9.99  0
1975 12 28  -999.99 -9.99  0
1975 12 29  -999.99 -9.99  0
1975 12 30  -999.99 -9.99  0
1975 12 31  -999.99 -9.99  0
1976  1  1  -999.99 -9.99  0
1976  1  2  -999.99 -9.99  0
1976  1  3  -999.99 -9.99  0
1976  1  4  -999.99 -9.99  0
1976  1  5  -999.99 -9.99  0
1976  1  6   331.70  0.22 15
1976  1  7   331.53  0.19 14
1976  1  8   331.17  0.12 20
1976  1  9   331.05  0.10 10
1976  1 10   331.16  0.14 21
1976  1 11   331.17  0.14 24
1976  1 12   331.21  0.11 19
1976  1 13   331.52  0.25 18
1976  1 14   331.72  0.19 17
1976  1 15   331.95  0.12  3
1976  1 16   331.80  0.22  9
1976  1 17   331.89  0.17 15
1976  1 18   331.73  0.19 18
1976  1 19   331.85  0.01  2
1976  1 20   331.74  0.25  9
1976  1 21   331.75  0.14  9
1976  1 22   331.65  0.20 11
1976  1 23   331.80  0.10 16
1976  1 24   331.73  0.25  9
1976  1 25   331.69  0.22 17
1976  1 26   332.01  0.14 13
1976  1 27   332.20  0.15 16
1976  1 28   331.65  0.14 13
1976  1 29  -999.99 -9.99  0
1976  1 30   332.91 -9.99  1
1976  1 31   332.23  0.20  6
1976  2  1   332.37  0.22 16
1976  2  2   332.91  0.08  5
1976  2  3   332.36  0.12 23
1976  2  4   332.16  0.14 20
1976  2  5   332.40  0.10  7
1976  2  6   333.26  0.03  2
1976  2  7   332.51 -9.99  1
1976  2  8   332.46  0.23 14
1976  2  9   332.52  0.13  4
1976  2 10   332.17  0.28 15
1976  2 11   332.76  0.16  9
1976  2 12   332.39  0.20 12
1976  2 13   332.10  0.10 19
1976  2 14   332.79  0.28 16
1976  2 15   332.76  0.12 23
1976  2 16   332.66  0.19 22
1976  2 17   332.35  0.11 19
1976  2 18   332.30  0.10 12
1976  2 19   332.69  0.10 15
1976  2 20   332.50  0.14  7
1976  2 21   332.69  0.21 18
1976  2 22   333.45  0.23 16
1976  2 23   333.83  0.22 14
1976  2 24   333.82  0.24 10
1976  2 25   333.72  0.23  4
1976  2 26   333.53  0.15  9
1976  2 27   333.35  0.29  9
1976  2 28   332.90  0.18 15
1976  2 29   332.44  0.28 15
1976  3  1   331.66  0.12  7
1976  3  2   331.88  0.14  4
1976  3  3   331.52  0.08  2
1976  3  4  -999.99 -9.99  0
1976  3  5   332.13  0.15 11
1976  3  6   332.51  0.26 12
1976  3  7   332.62  0.24 13
1976  3  8   332.91  0.17 10
1976  3  9  -999.99 -9.99  0
1976  3 10   333.01  0.18 13
1976  3 11   332.90  0.16  8
1976  3 12   333.24  0.12 21
1976  3 13   333.44  0.24 17
1976  3 14   334.24  0.16  9
1976  3 15   333.97  0.29 13
1976  3 16   333.73  0.11 16
1976  3 17   333.41  0.23 16
1976  3 18   333.01  0.20 14
1976  3 19   333.12  0.14  2
1976  3 20   333.65  0.12  3
1976  3 21   333.63  0.16  6
1976  3 22   333.92  0.21  8
1976  3 23   334.54  0.15  5
1976  3 24   334.11  0.18 13
1976  3 25   334.24  0.13  3
1976  3 26   334.32  0.17  9
1976  3 27   334.53  0.15 13
1976  3 28   334.73  0.25  5
1976  3 29   334.65  0.17 12
1976  3 30   334.64  0.18 12
1976  3 31   334.78  0.13  7
1976  4  1   334.42  0.16 18
1976  4  2   334.58  0.16 14
1976  4  3   334.70  0.20  8
1976  4  4   334.97  0.21 16
1976  4  5  -999.99 -9.99  0
1976  4  6   334.84  0.08  4
1976  4  7   335.47  0.12  7
1976  4  8   335.03  0.22 10
1976  4  9   335.22  0.17 16
1976  4 10   334.77  0.23 14
1976  4 11   334.49  0.17  3
1976  4 12   333.92  0.25 12
1976  4 13   334.01  0.20  7
1976  4 14   334.07  0.17 12
1976  4 15  -999.99 -9.99  0
1976  4 16  -999.99 -9.99  0
1976  4 17   334.76  0.12 12
1976  4 18   335.20  0.07  4
1976  4 19   334.78  0.19 18
1976  4 20   334.59  0.09 13
1976  4 21  -999.99 -9.99  0
1976  4 22  -999.99 -9.99  0
1976  4 23   334.64  0.24 13
1976  4 24   334.47  0.21 17
1976  4 25   334.45  0.24  5
1976  4 26   334.73  0.16 14
1976  4 27   335.05  0.25  9
1976  4 28   335.54  0.12  5
1976  4 29   335.40  0.09  2
1976  4 30   335.31  0.23 11
1976  5  1   334.89  0.21 11
1976  5  2   335.15  0.26  7
1976  5  3   334.87  0.22  8
1976  5  4   334.95  0.12 17
1976  5  5   334.32  0.20  8
1976  5  6   334.05  0.17  9
1976  5  7   333.67  0.22 15
1976  5  8   333.55  0.16 23
1976  5  9   333.71  0.08 10
1976  5 10   334.57  0.11  9
1976  5 11   334.76  0.19  5
1976  5 12   334.69  0.20 13
1976  5 13   334.06  0.21 19
1976  5 14   334.08  0.14 17
1976  5 15   334.08  0.12 12
1976  5 16   334.55  0.21  7
1976  5 17   334.85  0.19  6
1976  5 18   335.31  0.17 18
1976  5 19   335.41  0.25  5
1976  5 20   335.40  0.24 12
1976  5 21   335.41  0.20 13
1976  5 22   335.36  0.18 13
1976  5 23   334.95  0.11 14
1976  5 24   335.16  0.23  9
1976  5 25   335.16  0.20 13
1976  5 26   335.38  0.22 18
1976  5 27   335.60  0.14  4
1976  5 28   335.52  0.29  8
1976  5 29   335.36  0.12  3
1976  5 30   334.73  0.22 15
1976  5 31   334.80  0.15 23
1976  6  1   334.51  0.14 18
1976  6  2   334.40  0.17 19
1976  6  3   334.17  0.23 14
1976  6  4   334.16  0.22  7
1976  6  5   334.08  0.20 15
1976  6  6   334.13  0.18  7
1976  6  7   333.87  0.23 14
1976  6  8   334.37  0.13 22
1976  6  9   334.40  0.25 14
1976  6 10   334.93  0.07  2
1976  6 11   334.78  0.25  7
1976  6 12   334.65  0.17 14
1976  6 13   334.34  0.28 21
1976  6 14   334.38  0.22  8
1976  6 15   334.12  0.16 14
1976  6 16   334.18  0.17 24
1976  6 17   334.27  0.13 24
1976  6 18   334.11  0.12 21
1976  6 19   334.03  0.15 14
1976  6 20   333.89  0.10 14
1976  6 21   334.02  0.18 19
1976  6 22   333.77  0.10  9
1976  6 23   333.95  0.18  2
1976  6 24   333.45  0.25  9
1976  6 25   333.21  0.09  7
1976  6 26  -999.99 -9.99  0
1976  6 27  -999.99 -9.99  0
1976  6 28  -999.99 -9.99  0
1976  6 29  -999.99 -9.99  0
1976  6 30  -999.99 -9.99  0
